Date,Open,High,Low,Close
04/22/2024,"4,921.04","4,954.18","4,913.70","4,936.85"
04/19/2024,"4,911.59","4,933.38","4,884.12","4,918.09"
04/18/2024,"4,924.83","4,943.98","4,907.61","4,936.57"
04/17/2024,"4,918.73","4,968.41","4,898.90","4,914.13"
04/16/2024,"4,962.15","4,962.15","4,899.41","4,916.99"
04/15/2024,"4,969.00","5,034.73","4,969.00","4,984.48"
04/12/2024,"4,986.03","5,023.90","4,935.03","4,955.01"
04/11/2024,"4,994.15","5,010.09","4,934.40","4,966.68"
04/10/2024,"5,006.50","5,037.18","4,951.19","5,000.83"
04/09/2024,"5,038.73","5,038.73","4,981.23","4,990.90"
04/08/2024,"5,012.02","5,053.00","5,005.31","5,046.05"
04/05/2024,"5,043.61","5,043.61","4,985.67","5,014.75"
04/04/2024,"5,071.83","5,089.33","5,065.65","5,070.76"
04/03/2024,"5,047.80","5,071.20","5,046.23","5,069.25"
04/02/2024,"5,096.86","5,121.71","5,038.63","5,042.00"
03/28/2024,"5,085.25","5,103.26","5,081.78","5,083.42"
03/27/2024,"5,063.27","5,095.11","5,063.27","5,081.74"
03/26/2024,"5,046.26","5,072.75","5,038.73","5,064.18"
03/25/2024,"5,029.25","5,051.47","5,013.60","5,044.19"
03/22/2024,"5,035.13","5,037.74","5,008.90","5,031.15"
03/21/2024,"5,042.32","5,058.91","5,021.14","5,052.31"
03/20/2024,"4,991.37","5,009.13","4,980.95","5,000.31"
03/19/2024,"4,979.06","5,007.92","4,976.37","5,007.92"
03/18/2024,"4,993.66","5,004.08","4,976.61","4,982.76"
03/15/2024,"4,993.44","5,023.65","4,986.02","4,986.02"
03/14/2024,"5,007.73","5,031.82","4,986.60","4,993.12"
03/13/2024,"4,985.83","5,016.24","4,983.82","5,000.55"
03/12/2024,"4,937.76","4,985.10","4,926.21","4,983.20"
03/11/2024,"4,932.20","4,938.65","4,913.84","4,930.42"
03/08/2024,"4,974.97","4,986.57","4,961.11","4,961.11"
03/07/2024,"4,901.01","4,978.19","4,891.79","4,974.22"
03/06/2024,"4,890.84","4,920.57","4,889.58","4,915.49"
03/05/2024,"4,909.42","4,913.10","4,886.07","4,893.07"
03/04/2024,"4,904.58","4,915.44","4,897.94","4,912.92"
03/01/2024,"4,888.58","4,904.85","4,874.03","4,894.86"
02/29/2024,"4,883.77","4,898.37","4,872.63","4,877.77"
02/28/2024,"4,883.84","4,887.18","4,874.94","4,883.77"
02/27/2024,"4,865.54","4,887.85","4,863.81","4,885.74"
02/26/2024,"4,865.87","4,870.43","4,859.49","4,864.29"
02/23/2024,"4,857.41","4,881.66","4,850.32","4,872.57"
02/22/2024,"4,812.02","4,866.06","4,812.02","4,855.36"
02/21/2024,"4,761.24","4,782.56","4,756.68","4,775.31"
02/20/2024,"4,757.95","4,766.62","4,749.18","4,760.28"
02/19/2024,"4,755.75","4,765.82","4,744.59","4,763.07"
02/16/2024,"4,754.43","4,782.79","4,750.76","4,765.65"
02/15/2024,"4,713.78","4,749.27","4,713.78","4,743.17"
02/14/2024,"4,685.94","4,712.89","4,681.62","4,709.22"
02/13/2024,"4,746.46","4,746.46","4,671.99","4,689.28"
02/12/2024,"4,720.30","4,746.35","4,720.30","4,746.35"
02/09/2024,"4,711.33","4,723.77","4,696.51","4,715.87"
02/08/2024,"4,687.21","4,720.78","4,682.83","4,710.78"
02/07/2024,"4,691.57","4,694.88","4,677.92","4,678.85"
02/06/2024,"4,667.50","4,692.44","4,660.02","4,690.87"
02/05/2024,"4,656.05","4,667.40","4,638.33","4,655.27"
02/02/2024,"4,645.78","4,676.71","4,645.78","4,654.55"
02/01/2024,"4,641.94","4,656.52","4,619.48","4,638.60"
01/31/2024,"4,659.87","4,674.74","4,642.69","4,648.40"
01/30/2024,"4,647.41","4,667.42","4,642.26","4,662.70"
01/29/2024,"4,636.77","4,639.36","4,622.46","4,639.36"
01/26/2024,"4,572.13","4,639.05","4,572.13","4,635.47"
01/25/2024,"4,562.34","4,584.87","4,545.52","4,582.26"
01/24/2024,"4,469.79","4,564.11","4,469.60","4,564.11"
